timestamp,lap_number,track,lap_distance,track_position,speed_kmh,gas,brake,steer_angle,gear,rpm,heading,local_velocity_x,local_velocity_y,local_velocity_z,g_force_x,g_force_y,g_force_z
1750936110,1,monza,0.802765191,0.040497586,0.00179723,1,0,0,1,0,2.460296869,-0.000135745,2.24E-05,-0.000476714,0,0,0
1750936110,1,monza,0.802765191,0.040497586,0.001751221,1,0,0,1,0,2.460296631,-0.000113343,-9.75E-06,-0.000465582,0,0,0
1750936110,1,monza,0.802765191,0.040497586,0.001750277,1,0,0,1,0,2.460296631,-0.000142086,2.97E-06,-0.000440298,0,0,0
1750936110,1,monza,0.802795708,0.040497586,0.001774709,1,0,0,1,0,2.460296631,-0.000132438,4.19E-05,-0.000449533,0,0,0
1750936110,1,monza,0.802795708,0.040497586,0.001841942,1,0,0,1,0,2.460296631,-0.00015228,-1.87E-07,-0.000462704,0,0,0
1750936110,1,monza,0.802795708,0.040497586,0.001829508,1,0,0,1,0,2.460296631,-0.000115471,-1.02E-05,-0.000431025,0,0,0
1750936110,1,monza,0.802826226,0.040497586,0.001651801,1,0,0,1,0,2.460296631,-0.000127989,1.29E-05,-0.000439692,0,0,0
1750936110,1,monza,0.802856743,0.040497586,0.001732701,1,0,0,1,0,2.460296631,-0.000126859,2.44E-05,-0.000459516,0,0,0
1750936110,1,monza,0.802856743,0.040497586,0.001653758,1,0,0,1,0,2.460296631,-0.000126655,-2.29E-06,-0.00047562,0,0,0
1750936110,1,monza,0.802856743,0.040497586,0.001656983,1,0,0,1,0,2.460296631,-0.000133545,-1.68E-05,-0.000445138,0,0,0
1750936110,1,monza,0.802856743,0.040497586,0.00178004,1,0,0,1,0,2.460296631,-0.000130675,3.50E-05,-0.000466083,0,0,0
1750936110,1,monza,0.802856743,0.040497586,0.001623425,1,0,0,1,0,2.460296392,-0.000123588,1.52E-05,-0.000453239,0,0,0
1750936110,1,monza,0.802917778,0.040497586,0.001689419,1,0,0,1,0,2.460296392,-0.000118399,8.58E-06,-0.000470903,0,0,0
1750936110,1,monza,0.802918732,0.040497586,0.001639995,1,0,0,1,0,2.460296392,-0.000108625,2.26E-06,-0.000446982,0,0,0
1750936110,1,monza,0.802918732,0.040497586,0.0017467,1,0,0,1,0,2.460296392,-0.000134648,2.87E-05,-0.000483007,0,0,0
1750936110,1,monza,0.802918732,0.040497586,0.001722251,1,0,0,1,0,2.460296392,-0.000114606,2.04E-05,-0.000489934,0,0,0
1750936110,1,monza,0.80294925,0.040497586,0.001728731,1,0,0,1,0,2.460296392,-0.000139953,1.73E-05,-0.000453152,0,0,0
1750936110,1,monza,0.80294925,0.040497586,0.001694568,1,0,0,1,0,2.460296392,-0.000147026,1.65E-05,-0.000461243,0,0,0
1750936110,1,monza,0.802979767,0.040497586,0.001789715,1,0,0,1,0,2.460296392,-0.000121829,9.35E-07,-0.000473114,0,0,0
1750936110,1,monza,0.802979767,0.040497586,0.001729609,1,0,0,1,0,2.460296392,-0.000113877,3.83E-06,-0.00045688,0,0,0
1750936110,1,monza,0.803010285,0.040497586,0.001572884,1,0,0,1,0,2.460296392,-0.000139056,4.71E-05,-0.000480832,0,0,0
1750936110,1,monza,0.803010285,0.040497586,0.001593333,1,0,0,1,0,2.460296392,-0.000109867,1.22E-05,-0.000447655,0,0,0
1750936110,1,monza,0.803010285,0.040497586,0.001662567,1,0,0,1,0,2.460296392,-0.000119895,-7.75E-06,-0.000480796,0,0,0
1750936110,1,monza,0.803010285,0.040497586,0.00189997,1,0,0,1,0,2.460296154,-0.000136631,-7.61E-06,-0.000454017,0,0,0
1750936110,1,monza,0.803012192,0.040497586,0.001717218,1,0,0,1,0,2.460296154,-0.000129626,1.61E-06,-0.000473311,0,0,0
1750936110,1,monza,0.803074181,0.040497586,0.001796323,1,0,0,1,0,2.460296154,-0.000156754,2.52E-05,-0.000467849,0,0,0
1750936110,1,monza,0.803074181,0.040497586,0.001696278,1,0,0,1,0,2.460296154,-0.000120073,-1.50E-05,-0.000478945,0,0,0
1750936110,1,monza,0.803074181,0.040497586,0.001738834,1,0,0,1,0,2.460296154,-0.000126585,-1.24E-05,-0.000434073,0,0,0
1750936110,1,monza,0.803074181,0.040497586,0.001678813,1,0,0,1,0,2.460296154,-0.000142721,3.20E-05,-0.000459403,0,0,0
1750936110,1,monza,0.803104699,0.040497586,0.001712732,1,0,0,1,0,2.460296154,-0.000156691,-2.56E-05,-0.000490981,0,0,0
1750936110,1,monza,0.803104699,0.040497586,0.001801909,1,0,0,1,0,2.460296154,-0.000139497,4.55E-05,-0.0004884,0,0,0
1750936110,1,monza,0.803135216,0.040497586,0.001777574,1,0,0,1,0,2.460295916,-0.000126386,1.62E-05,-0.000444043,0,0,0
1750936110,1,monza,0.803135216,0.040497586,0.001739093,1,0,0,1,0,2.460296154,-0.000136625,-2.05E-05,-0.000436907,0,0,0
1750936110,1,monza,0.803135216,0.040497586,0.001785519,1,0,0,1,0,2.460295916,-0.000138016,-5.07E-06,-0.000457989,0,0,0
